"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\domains\user\model.ts", "TypeScript", -116, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -120
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\helpers\bcrypt.ts", "TypeScript", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\helpers\block.ts", "TypeScript", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -21
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\helpers\date.ts", "TypeScript", -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -57
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\helpers\fileopreations.ts", "TypeScript", -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -1, -75
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\helpers\follow.ts", "TypeScript", -99, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -1, -107
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\helpers\jwt.ts", "TypeScript", -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, -48, -3, -88
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\helpers\nodemailer.ts", "TypeScript", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -21
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\helpers\pagination.ts", "TypeScript", -105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -106
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\index.ts", "TypeScript", -56, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -1, -61
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\interfaces\body.ts", "TypeScript", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -16
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\interfaces\global.d.ts", "TypeScript", -59, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -2, -68
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\middleware\article.ts", "TypeScript", -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -30
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\middleware\auth.ts", "TypeScript", -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -87
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\middleware\contentAccess.ts", "TypeScript", -190, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -1, -195
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\middleware\userDataAccess.ts", "TypeScript", -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2, -107
