"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\index.ts", "TypeScript", 0, 0, 0, 56, 4, 1, 61
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\interfaces\body.ts", "TypeScript", 0, 0, 0, 13, 2, 1, 16
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\interfaces\global.d.ts", "TypeScript", 0, 0, 0, 59, 7, 2, 68
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\middleware\article.ts", "TypeScript", 0, 0, 0, 29, 0, 1, 30
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\middleware\auth.ts", "TypeScript", 0, 0, 0, 85, 0, 2, 87
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\middleware\contentAccess.ts", "TypeScript", 0, 0, 0, 190, 4, 1, 195
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\middleware\userDataAccess.ts", "TypeScript", 0, 0, 0, 102, 3, 2, 107
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\redis-cache\expiries.ts", "TypeScript", 0, 0, 0, 4, 0, 1, 5
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\redis-cache\index.ts", "TypeScript", 0, 0, 0, 39, 4, 1, 44
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\redis-cache\keys.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\validation\article.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 7
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\validation\auth.ts", "TypeScript", 0, 0, 0, 14, 1, 0, 15
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\src\validation\topic.ts", "TypeScript", 0, 0, 0, 8, 0, 1, 9
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\api\tsconfig.json", "JSON with Comments", 0, 12, 0, 0, 1, 0, 13
"Total", "-", 2782, 12, 111, 4061, 186, 84, 7236
